Ranking,Id,VesId,IMONum,RefNum,ShipName,YearBuilt,MonthBuilt,Type,Length,RepLength,Draught,GearSWLLargest,GearTypeLargest,PrplsnUnits,PropellerType,SvcSpeed,DWT,RepresentDWT,GT,RepresentGT,ROROLnLnth,ROROLnHt,Decks,Cars,RampSWL,Pax,ROROLnWidth,RORORampPosition,TEU,EnginesNumber,EngineDesign,EngineModel,Shipbuilder,EngBuilder,AuxNumEngBuilder,AuxNumEngDesign,AuxNumEngModel,GenNumber,GenKW,ProplnType,NewbldPrice,SalePrice,SaleDate,Crew,CountryBuilt,RegisteredOwner,Flag,Age,DWT_ThrougPut,GT_ThroughPut,DollarPerDWT,DollarPerGT,ImageURL,ROROName,PerComplete,FlagUrl,Country,ISO2,Built,CLINStatus,AgeValue,AgeRankPercent,DwtTptRankPercent,GtTptRankPercent,SpeedRankPercent,RepDwtRankPercent,GTRankPercent,LengthRankPercent,WeightedRanking
93,238,266,9285495,3729940,HOEGH SEOUL,2004,11,Vehicles Carrier,228.74,223.24,10,0,,1,Fixed Pitch,20.5,27178,26067,68871,67760,0,5,12,7800,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,B&W,7S60MC,Daewoo Shipbuilding & Marine,Doosan Engine Co Ltd - South Korea,MAN-B&W,MAN-B&W,7L28/32H,3,4410,Oil Engine(s) Direct Drive,"$5,00,00,000 ",,,23,Korea South,Hoegh Autoliners Shipping AS,Norway,16,2674.3152,6776.9064,1918.134039,737.898465,,,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.484360%;"" aria-valuenow=""66.484360"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/138px-Flag_of_Norway.svg.png,Norway,NO,,,29,64.444444,55.443007,78.100584,77.358491,47.639673,68.22461,77.277027,66.48436
94,237,265,9285483,3729928,HOEGH TOKYO,2004,9,Vehicles Carrier,228.7,223.2,10.02,0,,1,Fixed Pitch,20.5,27100,25989,68871,67760,0,5,12,7800,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,B&W,7S60MC,Daewoo Shipbuilding & Marine,Doosan Engine Co Ltd - South Korea,MAN-B&W,MAN-B&W,7L28/32H,3,4410,Oil Engine(s) Direct Drive,"$5,00,00,000 ",,,0,Korea South,Hoegh Autoliners Shipping AS,Norway,16,2666.64,6776.9064,1923.890877,737.898465,,,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.431524%;"" aria-valuenow=""66.431524"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/138px-Flag_of_Norway.svg.png,Norway,NO,,,29,64.444444,55.283888,78.100584,77.358491,47.497122,68.22461,77.263514,66.431524
95,564,601,9775828,4220273,SILVER RAY,2017,12,Vehicles Carrier,199.95,194.45,10.6,0,,1,Fixed Pitch,19.53,20995,19884,71178,70067,0,5.2,13,7700,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7G60ME-C9,Hyundai Mipo Dockyard Co Ltd,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,7H25/33,4,8000,Oil Engine(s) Direct Drive,"$7,80,00,000 ",,,0,Korea South,GL NV25 Shipping Inc,Marshall Islands,3,1968.15528,6672.510432,3922.751961,1113.220204,,SILVER RAY,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.382600%;"" aria-valuenow=""66.382600"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/180px-Flag_of_the_Marshall_Islands.svg.png,Marshall Islands,MH,2017-12,,42,93.333333,40.803136,76.897471,73.698113,36.339712,70.547428,67.550676,66.3826
96,291,319,9832573,4277018,MONOCEROS LEADER,2018,10,Vehicles Carrier,199.98,194.48,10.427,0,,1,Fixed Pitch,20,19159,18048,70497,69386,0,0,12,7000,,0,0,Aft: 1 Starboard: 1,0,1,MAN-B&W,7S60ME-C8,Shin Kurushima Toyohashi,Mitsui Engineering & Shipbuilding C Ltd - Japan,,,,3,3630,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Nancy Ship Holding SA,Panama,2,1839.264,6767.712,0,0,,MONOCEROS LEADER,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.301653%;"" aria-valuenow=""66.301653"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/150px-Flag_of_Panama.svg.png,Panama,PA,2018-10,,43,95.555556,38.131006,77.994623,75.471698,32.984264,69.861759,67.560811,66.301653
97,261,289,9782091,4226536,LYDDEN,2018,3,Vehicles Carrier,199.96,194.46,9.727,0,,1,Fixed Pitch,20,18168,17057,72684,71573,0,5.8,12,7429,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7S60ME-C,Shin Kurushima Onishi,Mitsui Engineering & Shipbuilding C Ltd - Japan,,,,,,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Fair Wind Navigation SA,Liberia,2,1744.128,6977.664,0,0,,LYDDEN,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.285224%;"" aria-valuenow=""66.285224"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/180px-Flag_of_Liberia.svg.png,Liberia,LR,2018-03,,43,95.555556,36.158678,80.414219,75.471698,31.173127,72.063754,67.554054,66.285224
98,260,288,9782089,4226534,THRUXTON,2018,1,Vehicles Carrier,199.96,194.46,9.727,0,,1,Fixed Pitch,20,18160,17049,72684,71573,0,5.8,12,7429,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7S60ME-C,Shin Kurushima Onishi,Mitsui Engineering & Shipbuilding C Ltd - Japan,,,,3,3390,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Picer Marine SA,Liberia,2,1743.36,6977.664,0,0,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3141016,THRUXTON,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.280004%;"" aria-valuenow=""66.280004"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/180px-Flag_of_Liberia.svg.png,Liberia,LR,2018-01,,43,95.555556,36.142756,80.414219,75.471698,31.158506,72.063754,67.554054,66.280004
99,290,318,9832561,4277006,SARA LEADER,2018,7,Vehicles Carrier,199.98,194.48,10.427,0,,1,Fixed Pitch,20,19115,18004,70497,69386,0,0,12,7000,,0,0,Aft: 1 Starboard: 1,0,1,MAN-B&W,7S60ME-C8,Shin Kurushima Toyohashi,Mitsui Engineering & Shipbuilding C Ltd - Japan,,,,3,3630,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Sur Holding Maritime SA,Panama,2,1835.04,6767.712,0,0,,SARA LEADER,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.272939%;"" aria-valuenow=""66.272939"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/150px-Flag_of_Panama.svg.png,Panama,PA,2018-07,,43,95.555556,38.043435,77.994623,75.471698,32.903851,69.861759,67.560811,66.272939
100,527,563,9706918,4151363,HOEGH TRAPPER,2016,6,Vehicles Carrier,199.89,194.39,10.318,0,,1,Fixed Pitch,19,20766,19655,76420,75309,0,6.5,13,8500,375,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,6S60ME-C,Xiamen Shipbuilding Industry,Hyundai Heavy Industries Co Ltd - South Korea,MAN-B&W,MAN-B&W,9L21/31,3,4650,Oil Engine(s) Direct Drive,$0 ,,,0,China People's Republic Of,OCY Trapper Ltd,Norway,4,1893.8592,6969.504,0,0,,HOEGH TRAPPER,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.267899%;"" aria-valuenow=""66.267899"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/138px-Flag_of_Norway.svg.png,Norway,NO,2016-06,,41,91.111111,39.262855,80.320179,71.698113,35.921195,75.825371,67.530405,66.267899
101,554,591,9748019,4192464,IRIS LEADER,2015,12,Vehicles Carrier,199.99,194.49,10.618,0,,1,Fixed Pitch,20,20853,19742,70826,69715,0,5.1,12,7125,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,Mitsubishi,7UEC60LSE,Imabari Shbldg - Marugame,Kobe Hatsudoki KK - Japan,Daihatsu,Daihatsu,6DE-23,3,3600,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Nobleza Maritima SA,Panama,5,2001.888,6799.296,0,0,,IRIS LEADER,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.168879%;"" aria-valuenow=""66.168879"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/150px-Flag_of_Panama.svg.png,Panama,PA,2015-12,,40,88.888889,41.502472,78.358614,75.471698,36.080194,70.193014,67.564189,66.168879
102,537,573,9713894,4158339,CASTOR LEADER,2015,3,Vehicles Carrier,199.99,194.49,10.618,0,,1,Fixed Pitch,20,21186,20075,70048,68937,0,5.1,12,7124,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,Mitsubishi,7UEC60LSE,Imabari Shbldg - Marugame,Kobe Hatsudoki KK - Japan,Daihatsu,Daihatsu,6DE-23,3,3600,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Longevity Maritime SA,Panama,5,2033.856,6724.608,0,0,,CASTOR LEADER,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.161814%;"" aria-valuenow=""66.161814"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/150px-Flag_of_Panama.svg.png,Panama,PA,2015-03,,40,88.888889,42.165222,77.49787,75.471698,36.68878,69.40968,67.564189,66.161814
103,553,590,9738777,4183222,DENEB LEADER,2015,7,Vehicles Carrier,199.99,194.49,10.618,0,,1,Fixed Pitch,20,21155,20044,70048,68937,0,5.1,12,7124,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,Mitsubishi,7UEC60LSE,Imabari Shbldg - Marugame,Kobe Hatsudoki KK - Japan,Daihatsu,Daihatsu,6DE-23,3,3600,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Beatrix Shipholding SA,Panama,5,2030.88,6724.608,0,0,,DENEB LEADER,"<div class=""progress-bar"" role=""progressbar"" style=""width: 66.141584%;"" aria-valuenow=""66.141584"" aria-valuemin=""0"" aria-valuemax=""100"">66%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/150px-Flag_of_Panama.svg.png,Panama,PA,2015-07,,40,88.888889,42.103524,77.49787,75.471698,36.632125,69.40968,67.564189,66.141584
104,555,592,9748289,4192734,BROOKLANDS,2017,1,Vehicles Carrier,199.96,194.46,9.727,0,,1,Fixed Pitch,20,18322,17211,72700,71589,0,5.8,12,7429,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7S60ME-C,Shin Kurushima Onishi,Mitsui Engineering & Shipbuilding C Ltd - Japan,,,,3,3390,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Uwajima Unyu/Arpege,Liberia,3,1758.912,6979.2,0,0,,BROOKLANDS,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.945890%;"" aria-valuenow=""65.945890"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/180px-Flag_of_Liberia.svg.png,Liberia,LR,2017-01,,42,93.333333,36.465175,80.431921,75.471698,31.454575,72.079864,67.554054,65.94589
105,556,593,9748291,4192736,DONINGTON,2017,3,Vehicles Carrier,199.96,194.46,9.712,0,,1,Fixed Pitch,20,18241,17130,72700,71589,0,5.8,12,7429,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7S60ME-C,Shin Kurushima Onishi,Mitsui Engineering & Shipbuilding C Ltd - Japan,,,,4,14000,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Fair Wind Navigation SA,Liberia,3,1751.136,6979.2,0,0,,DONINGTON,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.893032%;"" aria-valuenow=""65.893032"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/180px-Flag_of_Liberia.svg.png,Liberia,LR,2017-03,,42,93.333333,36.303965,80.431921,75.471698,31.306541,72.079864,67.554054,65.893032
106,551,588,9736808,4181253,GLOVIS STAR,2016,7,Vehicles Carrier,199.971,194.471,10.62,0,,1,Fixed Pitch,19.5,20900,19789,71177,70066,0,5.2,13,7700,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7G60ME-C9,Hyundai Mipo Dockyard Co Ltd,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,7H25/33,4,8000,Oil Engine(s) Direct Drive,$0 ,,,0,Korea South,Star Maritime Ltd,Bahamas,4,1956.24,6662.1672,0,0,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3868779,GLOVIS STAR,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.822179%;"" aria-valuenow=""65.822179"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/180px-Flag_of_the_Bahamas.svg.png,Bahamas,BS,2016-07,CLIN-0003,41,91.111111,40.556113,76.77827,73.584906,36.166091,70.546421,67.55777,65.822179
107,552,589,9736810,4181255,GLOVIS SIGMA,2016,7,Vehicles Carrier,199.971,194.471,10.618,0,,1,Fixed Pitch,19.5,20900,19789,71177,70066,0,5.2,13,7700,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7G60ME-C9,Hyundai Mipo Dockyard Co Ltd,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,7H25/33,4,8000,Oil Engine(s) Direct Drive,$0 ,,,0,Korea South,Sigma Maritime Ltd,Bahamas,4,1956.24,6662.1672,0,0,,GLOVIS SIGMA,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.822179%;"" aria-valuenow=""65.822179"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/180px-Flag_of_the_Bahamas.svg.png,Bahamas,BS,2016-07,,41,91.111111,40.556113,76.77827,73.584906,36.166091,70.546421,67.55777,65.822179
108,513,549,9690535,4134980,HERMES LEADER,2015,2,Vehicles Carrier,199.971,194.471,10.618,0,,1,Fixed Pitch,19.5,20941,19830,71177,70066,0,5.2,13,7700,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7G60ME-C9,Hyundai Mipo Dockyard Co Ltd,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,7H25/33,4,8000,Oil Engine(s) Direct Drive,"$7,05,00,000 ",,,0,Korea South,Hermes Maritime Ltd,Bahamas,5,1960.0776,6662.1672,3555.219365,1006.19416,,HERMES LEADER,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.403946%;"" aria-valuenow=""65.403946"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/180px-Flag_of_the_Bahamas.svg.png,Bahamas,BS,2015-02,,40,88.888889,40.635673,76.77827,73.584906,36.241022,70.546421,67.55777,65.403946
109,514,550,9690547,4134992,HELIOS HIGHWAY,2015,6,Vehicles Carrier,199.971,194.471,10.61,0,,1,Fixed Pitch,19.5,20903,19792,71177,70066,0,5.2,13,7700,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7G60ME-C9,Hyundai Mipo Dockyard Co Ltd,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,7H25/33,4,8000,Oil Engine(s) Direct Drive,"$7,05,00,000 ",,,0,Korea South,Helios Ray Ltd,Bahamas,5,1956.5208,6662.1672,3562.045271,1006.19416,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3776464,HELIOS HIGHWAY,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.379653%;"" aria-valuenow=""65.379653"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/180px-Flag_of_the_Bahamas.svg.png,Bahamas,BS,2015-06,,40,88.888889,40.561934,76.77827,73.584906,36.171574,70.546421,67.55777,65.379653
110,515,551,9690559,4135004,HYPERION HIGHWAY,2015,9,Vehicles Carrier,199.971,194.471,10.6,0,,1,Fixed Pitch,19.5,20903,19792,71177,70066,0,5.2,13,7700,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7G60ME-C9,Hyundai Mipo Dockyard Co Ltd,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,7H25/33,4,8000,Oil Engine(s) Direct Drive,"$7,05,00,000 ",,,0,Korea South,Hyperion Ray Ltd,Bahamas,5,1956.5208,6662.1672,3562.045271,1006.19416,,HYPERION HIGHWAY,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.379653%;"" aria-valuenow=""65.379653"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/180px-Flag_of_the_Bahamas.svg.png,Bahamas,BS,2015-09,,40,88.888889,40.561934,76.77827,73.584906,36.171574,70.546421,67.55777,65.379653
111,507,543,9681431,4125876,MORNING PRIDE,2014,6,Vehicles Carrier,199.9,194.4,10.518,0,,1,Fixed Pitch,20,22675,21564,65276,64165,0,5.3,12,7400,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,8S60ME-C8,Hyundai Heavy Inds - Gunsan,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,6H25/33,3,3900,Oil Engine(s) Direct Drive,$0 ,,,0,Korea South,Pride International Associates,Marshall Islands,6,2176.8,6266.496,0,0,,MORNING PRIDE,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.310800%;"" aria-valuenow=""65.310800"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/180px-Flag_of_the_Marshall_Islands.svg.png,Marshall Islands,MH,2014-06,,39,86.666667,45.128689,72.21835,75.471698,39.410055,64.60496,67.533784,65.3108
112,482,518,9669029,4113474,MORNING POST,2014,3,Vehicles Carrier,199.9,194.4,10.518,0,,1,Fixed Pitch,20,22675,21564,65276,64165,0,5.3,12,7400,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,8S60ME-C8,Hyundai Heavy Inds - Gunsan,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,6H25/33,3,3900,Oil Engine(s) Direct Drive,$0 ,,,0,Korea South,Post International Associates,Marshall Islands,6,2176.8,6266.496,0,0,,MORNING POST,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.310800%;"" aria-valuenow=""65.310800"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/180px-Flag_of_the_Marshall_Islands.svg.png,Marshall Islands,MH,2014-03,,39,86.666667,45.128689,72.21835,75.471698,39.410055,64.60496,67.533784,65.3108
113,483,519,9669031,4113476,MORNING PILOT,2014,5,Vehicles Carrier,199.9,194.4,10.518,0,,1,Fixed Pitch,20,22675,21564,65276,64165,0,5.3,12,7400,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,8S60ME-C8,Hyundai Heavy Inds - Gunsan,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,6H25/33,3,3900,Oil Engine(s) Direct Drive,$0 ,,,0,Korea South,Pilot International Associates,Marshall Islands,6,2176.8,6266.496,0,0,,MORNING PILOT,"<div class=""progress-bar"" role=""progressbar"" style=""width: 65.310800%;"" aria-valuenow=""65.310800"" aria-valuemin=""0"" aria-valuemax=""100"">65%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/180px-Flag_of_the_Marshall_Islands.svg.png,Marshall Islands,MH,2014-05,,39,86.666667,45.128689,72.21835,75.471698,39.410055,64.60496,67.533784,65.3108
114,283,311,9816842,4261287,TROY SEAWAYS,2019,5,Ro-Ro Cargo Ship,235,229.5,7.4,0,,2,Controllable Pitch,21,17183,16072,60465,59354,6695,0,5,0,,12,0,Centre Or Only: 1 Port Aft: 1 Starboard Aft: 1,0,2,MAN-B&W,8S50ME-C9,Jinling Shipyard,Hyundai Heavy Industries Co Ltd - South Korea,Cssc Marine Power,MAN-B&W,9L21/31,2,3600,Oil Engine(s) Direct Drive,"$7,55,00,000 ",,,0,China People's Republic Of,DFDS Denizcilik ve Tasimacilik,Turkey,1,1732.0464,6094.872,4697.610752,1272.028844,,TROY SEAWAYS,"<div class=""progress-bar"" role=""progressbar"" style=""width: 64.980263%;"" aria-valuenow=""64.980263"" aria-valuemin=""0"" aria-valuemax=""100"">64%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/150px-Flag_of_Turkey.svg.png,Turkey,TR,2019-05,,44,97.777778,35.908206,70.240466,79.245283,29.372955,59.760972,79.391892,64.980263
115,512,548,9690523,4134968,HARVEST LEADER,2014,10,Vehicles Carrier,199.971,194.471,10.62,0,,1,Fixed Pitch,19.5,20941,19830,71177,70066,0,5.2,13,7700,200,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7G60ME-C9,Hyundai Mipo Dockyard Co Ltd,Hyundai Heavy Industries Co Ltd - South Korea,Hyundai Himsen,Hyundai Himsen,7H25/33,4,8000,Oil Engine(s) Direct Drive,"$7,05,00,000 ",,,0,Korea South,Harvest Maritime Ltd,Bahamas,6,1960.0776,6662.1672,3555.219365,1006.19416,,HARVEST LEADER,"<div class=""progress-bar"" role=""progressbar"" style=""width: 64.959502%;"" aria-valuenow=""64.959502"" aria-valuemin=""0"" aria-valuemax=""100"">64%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/180px-Flag_of_the_Bahamas.svg.png,Bahamas,BS,2014-10,,39,86.666667,40.635673,76.77827,73.584906,36.241022,70.546421,67.55777,64.959502
116,282,310,9816830,4261275,EPHESUS SEAWAYS,2019,1,Ro-Ro Cargo Ship,237.41,231.91,7.4,0,,2,Controllable Pitch,21,17011,15900,60465,59354,6690,0,5,0,,12,0,Centre Or Only: 1 Port Aft: 1 Starboard Aft: 1,0,2,MAN-B&W,8S50ME-C9,Jinling Shipyard,Hudong Heavy Machinery Co Ltd - China,Cssc Marine Power,MAN-B&W,9L21/31,2,3600,Oil Engine(s) Direct Drive,"$7,55,00,000 ",,,0,China People's Republic Of,DFDS Denizcilik ve Tasimacilik,Turkey,1,1714.7088,6094.872,4748.427673,1272.028844,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3361530,EPHESUS SEAWAYS,"<div class=""progress-bar"" role=""progressbar"" style=""width: 64.917736%;"" aria-valuenow=""64.917736"" aria-valuemin=""0"" aria-valuemax=""100"">64%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/150px-Flag_of_Turkey.svg.png,Turkey,TR,2019-01,,44,97.777778,35.548769,70.240466,79.245283,29.058611,59.760972,80.206081,64.917736
117,292,320,9832585,4277030,HOLLANDIA SEAWAYS,2019,10,Ro-Ro Cargo Ship,235,229.5,7.4,0,,2,Controllable Pitch,21,17048,15937,60465,59354,6700,0,5,0,,12,0,Centre Or Only: 1 Port Aft: 1 Starboard Aft: 1,0,2,MAN-B&W,8S50ME-C,Jinling Shipyard,Hudong Heavy Machinery Co Ltd - China,MAN-B&W,MAN-B&W,9L21/31,2,3010,Oil Engine(s) Direct Drive,"$7,55,00,000 ",,,0,China People's Republic Of,DFDS A/S,Denmark,1,1718.4384,6094.872,4737.403526,1272.028844,,,"<div class=""progress-bar"" role=""progressbar"" style=""width: 64.888583%;"" aria-valuenow=""64.888583"" aria-valuemin=""0"" aria-valuemax=""100"">64%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/132px-Flag_of_Denmark.svg.png,Denmark,DK,,,44,97.777778,35.62609,70.240466,79.245283,29.126231,59.760972,79.391892,64.888583
118,518,554,9700550,4144995,TAURUS LEADER,2015,3,Vehicles Carrier,199.98,194.48,10.427,0,,1,Fixed Pitch,20,19278,18167,69931,68820,0,5,13,7000,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,MAN-B&W,7S60ME-C8,Shin Kurushima Onishi,Mitsui Engineering & Shipbuilding C Ltd - Japan,Daihatsu,Daihatsu,6DEM-23,3,3240,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,SSC Taurus 2015 7000 Pte Ltd,Singapore,5,1850.688,6713.376,0,0,,TAURUS LEADER,"<div class=""progress-bar"" role=""progressbar"" style=""width: 64.882744%;"" aria-valuenow=""64.882744"" aria-valuemin=""0"" aria-valuemax=""100"">64%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/150px-Flag_of_Singapore.svg.png,Singapore,SG,2015-03,,40,88.888889,38.367844,77.368427,75.471698,33.201747,69.291878,67.560811,64.882744
119,132,157,9191876,3636321,HOEGH ASIA,2000,1,Vehicles Carrier,228.7,223.2,10.016,0,,1,Fixed Pitch,20.5,27564,26453,68060,66949,0,5,11,7850,150,0,0,Starboard: 1 Starboard Aft: 1,0,1,B&W,7S60MC,Daewoo Heavy Industries Ltd,HSD Engine Co Ltd - South Korea,Rrbergen,Bergens,KRG-6,3,3000,Oil Engine(s) Direct Drive,"$5,69,00,000 ",,,34,Korea South,Hoegh Autoliners Shipping AS,Norway,20,2712.2976,6697.104,2150.984765,849.900671,,,"<div class=""progress-bar"" role=""progressbar"" style=""width: 64.724321%;"" aria-valuenow=""64.724321"" aria-valuemin=""0"" aria-valuemax=""100"">64%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/138px-Flag_of_Norway.svg.png,Norway,NO,,,25,55.555556,56.230446,77.1809,77.358491,48.345121,67.408049,77.263514,64.724321
